Username;VowelRatio;ShannonEntropy;length;specialCharRatio;isBot
ag;0,5;1;2;0;TRUE
tnmogn;0,1667;2,2516;6;0;TRUE
Delpha Goyette;0,3571;3,3249;14;0,0714;FALSE
 nbs;0;2;4;0,25;TRUE
vkycgnpphb;0;3,1219;10;0;TRUE
kxmuruov;0,375;2,75;8;0;TRUE
Brandon Runte;0,3077;3,1808;13;0,0769;FALSE
Antonette Hermiston;0,3684;3,2211;19;0,0526;FALSE
cpuuy z;0,2857;2,5216;7;0,1429;TRUE
Giovani Stroman;0,4;3,3736;15;0,0667;FALSE
Margot Hessel;0,3077;3,3927;13;0,0769;FALSE
Sidney Kihn;0,2727;3,0958;11;0,0909;FALSE
Hershel Hamill;0,2857;2,9852;14;0,0714;FALSE
kphytp;0;2,2516;6;0;TRUE
Malvina West;0,3333;3,4183;12;0,0833;FALSE
rqq;0;0,9183;3;0;TRUE
imx qevr;0,25;3;8;0,125;TRUE
Myron Stokes;0,25;3,2516;12;0,0833;FALSE
Chandler Davis;0,2857;3,5216;14;0,0714;FALSE
h c;0;1,585;3;0,3333;TRUE
erinb;0,4;2,3219;5;0;TRUE
xvjbhy;0;2,585;6;0;TRUE
zzv;0;0,9183;3;0;TRUE
Lottie Kunze;0,4167;3,2516;12;0,0833;FALSE
Arnold McKenzie;0,3333;3,6402;15;0,0667;FALSE
Aryanna Wolf;0,3333;3,0221;12;0,0833;FALSE
lqmvqnl;0;2,2359;7;0;TRUE
pfqkuggf;0,125;2,5;8;0;TRUE
tmleqxgry;0,1111;3,1699;9;0;TRUE
Earnestine Fay;0,4286;3,182;14;0,0714;FALSE
m vsslo;0,1429;2,5216;7;0,1429;TRUE
th  i;0,2;1,9219;5;0,4;TRUE
smxy;0;2;4;0;TRUE
gp;0;1;2;0;TRUE
Dean Gutkowski;0,3571;3,6645;14;0,0714;FALSE
Giles Bins;0,3;2,9219;10;0,1;FALSE
oph;0,3333;1,585;3;0;TRUE
Bernita Prohaska;0,375;3,5778;16;0,0625;FALSE
tmntdznnu;0,1111;2,4194;9;0;TRUE
exdy ce;0,2857;2,5216;7;0,1429;TRUE
vm dkyyz;0;2,75;8;0,125;TRUE
Ubaldo Fay;0,4;3,1219;10;0,1;FALSE
Clara Brakus;0,3333;3,0221;12;0,0833;FALSE
Anabelle Beer;0,4615;2,6235;13;0,0769;FALSE
dtygeujh;0,25;3;8;0;TRUE
Fannie Jerde;0,4167;3,0221;12;0,0833;FALSE
iipklpi;0,4286;1,8424;7;0;TRUE
fsdijlcyysr;0,0909;3,0958;11;0;TRUE
tn;0;1;2;0;TRUE
Melyssa Gerlach;0,2667;3,3736;15;0,0667;FALSE
Roma Ondricka;0,3846;3,2389;13;0,0769;FALSE
fjfbagfvbmp;0,0909;2,8454;11;0;TRUE
u hpiochly;0,3;3,1219;10;0,1;TRUE
Bethel Funk;0,2727;3,2776;11;0,0909;FALSE
Sabryna Vandervort;0,2778;3,4194;18;0,0556;FALSE
fqixd;0,2;2,3219;5;0;TRUE
Titus Ryan;0,3;3,1219;10;0,1;FALSE
ygggd;0;1,371;5;0;TRUE
nxmavo;0,3333;2,585;6;0;TRUE
Lennie Dare;0,4545;2,8454;11;0,0909;FALSE
vpqpkptbm;0;2,6416;9;0;TRUE
vdqg;0;2;4;0;TRUE
Lavern Abbott;0,3077;3,2389;13;0,0769;FALSE
Kenna Vandervort;0,3125;3,2028;16;0,0625;FALSE
zbm tibq;0,125;2,75;8;0,125;TRUE
dddznqy;0;2,1281;7;0;TRUE
fofbh;0,2;1,9219;5;0;TRUE
ihget ;0,3333;2,585;6;0,1667;TRUE
Karson Zieme;0,4167;3,4183;12;0,0833;FALSE
Margarete Breitenberg;0,381;3,0776;21;0,0476;FALSE
lzbpmakqou;0,3;3,3219;10;0;TRUE
Lon Robel;0,3333;2,7255;9;0,1111;FALSE
bvngvdqimqf;0,0909;3,0958;11;0;TRUE
Kirk Kling;0,2;2,6464;10;0,1;FALSE
yteyf;0,2;1,9219;5;0;TRUE
Magdalena Bernhard;0,3333;3,281;18;0,0556;FALSE
bx;0;1;2;0;TRUE
rlntup;0,1667;2,585;6;0;TRUE
erqb;0,25;2;4;0;TRUE
qgogab;0,3333;2,2516;6;0;TRUE
egv;0,3333;1,585;3;0;TRUE
Rico Quitzon;0,4167;3,2516;12;0,0833;FALSE
zcabpq;0,1667;2,585;6;0;TRUE
Madisyn Corkery;0,2667;3,6402;15;0,0667;FALSE
Sibyl Muller;0,25;3,1887;12;0,0833;FALSE
Irma Rutherford;0,3333;3,3736;15;0,0667;FALSE
Ruth Runte;0,3;2,7219;10;0,1;FALSE
Wallace Lind;0,3333;3,0221;12;0,0833;FALSE
Scarlett Ullrich;0,25;3,3278;16;0,0625;FALSE
Malcolm Kessler;0,2667;3,1899;15;0,0667;FALSE
Grayson Berge;0,3077;3,2389;13;0,0769;FALSE
fksc ;0;2,3219;5;0,2;TRUE
bicc;0,25;1,5;4;0;TRUE
Ricardo Yost;0,3333;3,2516;12;0,0833;FALSE
Merlin Will;0,2727;2,8454;11;0,0909;FALSE
Joan Bogisich;0,3846;3,3927;13;0,0769;FALSE
czvkbv rubv;0,0909;2,8454;11;0,0909;TRUE
ldqujlxd;0,125;2,5;8;0;TRUE
gelz;0,25;2;4;0;TRUE
tzln fzo;0,125;2,75;8;0,125;TRUE
Pascale Murray;0,3571;3,3249;14;0,0714;FALSE
xuhllgheml;0,2;2,6464;10;0;TRUE
kkv;0;0,9183;3;0;TRUE
Estel Tromp;0,2727;3,0958;11;0,0909;FALSE
Eula Carroll;0,4167;2,8554;12;0,0833;FALSE
vahqcamcq;0,2222;2,5033;9;0;TRUE
Pink Price;0,3;2,9219;10;0,1;FALSE
gyyrdn;0;2,2516;6;0;TRUE
Eldora Will;0,3636;3,0272;11;0,0909;FALSE
Janessa Bahringer;0,3529;3,3372;17;0,0588;FALSE
Billie Wehner;0,3846;3,027;13;0,0769;FALSE
zriz;0,25;1,5;4;0;TRUE
lepakd;0,3333;2,585;6;0;TRUE
Eunice Bernier;0,5;2,8074;14;0,0714;FALSE
Jordi Breitenberg;0,3529;3,2928;17;0,0588;FALSE
Bud Predovic;0,3333;3,4183;12;0,0833;FALSE
loeajfx;0,4286;2,8074;7;0;TRUE
Bailey Pagac;0,4167;3,1887;12;0,0833;FALSE
Scarlett Homenick;0,2941;3,7345;17;0,0588;FALSE
fabceqrtdp;0,2;3,3219;10;0;TRUE
Mohamed Schaefer;0,375;3,3278;16;0,0625;FALSE
Shea Conroy;0,3636;3,2776;11;0,0909;FALSE
ubytkdeya;0,3333;2,9477;9;0;TRUE
Jimmie Oberbrunner;0,3889;3,1972;18;0,0556;FALSE
Ephraim Ankunding;0,3529;3,5725;17;0,0588;FALSE
ktgzghkk;0;2,1556;8;0;TRUE
Royal Runolfsdottir;0,3158;3,5369;19;0,0526;FALSE
Issac Mayer;0,3636;3,0958;11;0,0909;FALSE
yvio o;0,5;2,2516;6;0,1667;TRUE
Louie Smith;0,4545;3,2776;11;0,0909;FALSE
bhjk;0;2;4;0;TRUE
Althea Pacocha;0,4286;2,9502;14;0,0714;FALSE
Lilla Schuppe;0,3077;3,1808;13;0,0769;FALSE
Golda Ziemann;0,3846;3,3927;13;0,0769;FALSE
Christopher Schumm;0,2222;3,4613;18;0,0556;FALSE
Darwin Lind;0,2727;2,914;11;0,0909;FALSE
Muriel Shields;0,3571;3,2359;14;0,0714;FALSE
Katelin Steuber;0,4;3,4566;15;0,0667;FALSE
uusfbm gkxm;0,1818;3,0958;11;0,0909;TRUE
jym;0;1,585;3;0;TRUE
Estevan Hegmann;0,3333;3,1396;15;0,0667;FALSE
yk;0;1;2;0;TRUE
Jacquelyn MacGyver;0,2778;3,7255;18;0,0556;FALSE
siqpxciqh;0,2222;2,7255;9;0;TRUE
zh;0;1;2;0;TRUE
ckjvcfhbgr;0;3,1219;10;0;TRUE
Moshe Ledner;0,3333;3,1887;12;0,0833;FALSE
fzv h;0;2,3219;5;0,2;TRUE
ifb;0,3333;1,585;3;0;TRUE
Kyra Davis;0,3;3,1219;10;0,1;FALSE
lobcsbetcd;0,2;2,9219;10;0;TRUE
Etha Schimmel;0,3077;3,2389;13;0,0769;FALSE
kz;0;1;2;0;TRUE
Cindy Swift;0,1818;3,2776;11;0,0909;FALSE
Tyrese Rau;0,4;2,9219;10;0,1;FALSE
Garfield Moore;0,4286;3,3788;14;0,0714;FALSE
Heber Huels;0,3636;2,8454;11;0,0909;FALSE
Vivien Brakus;0,3846;3,3927;13;0,0769;FALSE
Johnny Renner;0,2308;2,7774;13;0,0769;FALSE
Lucio Wyman;0,3636;3,4594;11;0,0909;FALSE
qldhbs;0;2,585;6;0;TRUE
vqs;0;1,585;3;0;TRUE
obc;0,3333;1,585;3;0;TRUE
Myrna Predovic;0,2857;3,6645;14;0,0714;FALSE
xeect;0,4;1,9219;5;0;TRUE
xvsongih;0,25;3;8;0;TRUE
hcp;0;1,585;3;0;TRUE
agdyy;0,2;1,9219;5;0;TRUE
msl;0;1,585;3;0;TRUE
Reed Feeney;0,4545;2,404;11;0,0909;FALSE
 elhvve;0,2857;2,2359;7;0,1429;TRUE
Sunny Farrell;0,2308;3,2389;13;0,0769;FALSE
kiyghupkv;0,2222;2,9477;9;0;TRUE
oomptjyqa;0,3333;2,9477;9;0;TRUE
uqo r;0,4;2,3219;5;0,2;TRUE
Garett Runolfsson;0,2941;3,4992;17;0,0588;FALSE
x xktyunyc;0,1;2,9219;10;0,1;TRUE
lapg;0,25;2;4;0;TRUE
Osborne Schinner;0,3125;3,2028;16;0,0625;FALSE
Maximilian Aufderhar;0,45;3,4842;20;0,05;FALSE
rsdobm;0,1667;2,585;6;0;TRUE
Meagan Fahey;0,4167;3,0221;12;0,0833;FALSE
Ernestine Anderson;0,3889;3,0588;18;0,0556;FALSE
qevfkufxiil;0,3636;3,0958;11;0;TRUE
vhnnl;0;1,9219;5;0;TRUE
Gus Koepp;0,3333;2,9477;9;0,1111;FALSE
hika;0,5;2;4;0;TRUE
cxosm;0,2;2,3219;5;0;TRUE
Tanya McClure;0,3077;3,3927;13;0,0769;FALSE
Nikki Pouros;0,4167;3,085;12;0,0833;FALSE
rbl;0;1,585;3;0;TRUE
gaknvi;0,3333;2,585;6;0;TRUE
syfxntjo;0,125;3;8;0;TRUE
jxe kbf;0,1429;2,8074;7;0,1429;TRUE
Janiya Feil;0,4545;3,0958;11;0,0909;FALSE
lfj;0;1,585;3;0;TRUE
hbq;0;1,585;3;0;TRUE
gouegz;0,5;2,2516;6;0;TRUE
Nelson Jacobson;0,3333;3,1396;15;0,0667;FALSE
Manuel Bernhard;0,3333;3,3736;15;0,0667;FALSE
Eloisa Friesen;0,5;3,182;14;0,0714;FALSE
lluzonfz;0,25;2,5;8;0;TRUE
hhhve;0,2;1,371;5;0;TRUE
xefx nsefez;0,2727;2,6635;11;0,0909;TRUE
Dustin Olson;0,3333;3,085;12;0,0833;FALSE
Lucie Batz;0,4;3,3219;10;0,1;FALSE
Jadyn Lowe;0,3;3,3219;10;0,1;FALSE
yldnvma;0,1429;2,8074;7;0;TRUE
Kane Pouros;0,4545;3,2776;11;0,0909;FALSE
Sincere Sanford;0,3333;3,3736;15;0,0667;FALSE
mj;0;1;2;0;TRUE
Fay Jacobi;0,4;3,1219;10;0,1;FALSE
Paolo Zboncak;0,3846;3,1808;13;0,0769;FALSE
gahfrj;0,1667;2,585;6;0;TRUE
Darlene Shields;0,3333;3,1899;15;0,0667;FALSE
lv;0;1;2;0;TRUE
pjahky ;0,1429;2,8074;7;0,1429;TRUE
Lambert Boyer;0,3077;3,2389;13;0,0769;FALSE
muj;0,3333;1,585;3;0;TRUE
ehzfpszzgh;0,1;2,6464;10;0;TRUE
 lxmsnjqh;0;3,1699;9;0,1111;TRUE
Spencer Jacobson;0,3125;3,375;16;0,0625;FALSE
gxftonbt;0,125;2,75;8;0;TRUE
Lauriane Miller;0,4667;3,0566;15;0,0667;FALSE
Lyla Johns;0,2;3,1219;10;0,1;FALSE
Gaetano Lubowitz;0,4375;3,625;16;0,0625;FALSE
Rudy Lowe;0,3333;3,1699;9;0,1111;FALSE
Naomi Stroman;0,3846;3,0851;13;0,0769;FALSE
gkpmcdsud;0,1111;2,9477;9;0;TRUE
 qvyl;0;2,3219;5;0,2;TRUE
gxxlnhy kt;0;3,1219;10;0,1;TRUE
eetdyz;0,3333;2,2516;6;0;TRUE
Waylon Bailey;0,3846;3,2389;13;0,0769;FALSE
 ilnklcyu;0,2222;2,9477;9;0,1111;TRUE
tvkcxxpoi;0,2222;2,9477;9;0;TRUE
iuurqfx;0,4286;2,5216;7;0;TRUE
Matteo Howe;0,4545;2,914;11;0,0909;FALSE
u vvfzzcio;0,3;2,9219;10;0,1;TRUE
Wilhelmine Wehner;0,3529;3,0286;17;0,0588;FALSE
qajlo;0,4;2,3219;5;0;TRUE
Eduardo Deckow;0,4286;3,182;14;0,0714;FALSE
Demond Schmitt;0,2143;3,3788;14;0,0714;FALSE
lgggkaeshbp;0,1818;3,0272;11;0;TRUE
tmnhd;0;2,3219;5;0;TRUE
Sofia O'Connell;0,4;3,3232;15;0,1333;FALSE
dsfzx;0;2,3219;5;0;TRUE
Twila Hahn;0,3;2,9219;10;0,1;FALSE
Ruthie Beer;0,4545;2,8454;11;0,0909;FALSE
Stephan Graham;0,2857;3,3249;14;0,0714;FALSE
Maegan Prohaska;0,4;3,3736;15;0,0667;FALSE
 csakt;0,1667;2,585;6;0,1667;TRUE
Skye Berge;0,3;2,8464;10;0,1;FALSE
lyur;0,25;2;4;0;TRUE
ehiggvz;0,2857;2,5216;7;0;TRUE
sutrknpbi;0,2222;3,1699;9;0;TRUE
Brock Watsica;0,3077;3,3927;13;0,0769;FALSE
boqpx;0,2;2,3219;5;0;TRUE
ps;0;1;2;0;TRUE
Marty Pacocha;0,3077;3,1808;13;0,0769;FALSE
Adrien Ernser;0,3846;2,8151;13;0,0769;FALSE
uyhsllsrk;0,1111;2,7255;9;0;TRUE
Sterling Wyman;0,2143;3,6645;14;0,0714;FALSE
Keely Kutch;0,2727;3,0958;11;0,0909;FALSE
Hugh Macejkovic;0,3333;3,6402;15;0,0667;FALSE
Turner Terry;0,25;2,585;12;0,0833;FALSE
vboel pr;0,25;3;8;0,125;TRUE
ypkciqcmxqm;0,0909;2,914;11;0;TRUE
dhlgq;0;2,3219;5;0;TRUE
Mariela Williamson;0,4444;3,2663;18;0,0556;FALSE
Pansy Ruecker;0,3077;3,3927;13;0,0769;FALSE
Dena Mosciski;0,3846;3,3927;13;0,0769;FALSE
Marlee Dare;0,4545;2,6635;11;0,0909;FALSE
Consuelo Tromp;0,3571;3,4677;14;0,0714;FALSE
Armando Reynolds;0,3125;3,375;16;0,0625;FALSE
Cecile Kautzer;0,4286;3,3249;14;0,0714;FALSE
Shyann Ziemann;0,2857;3,0931;14;0,0714;FALSE
meymcal;0,2857;2,5216;7;0;TRUE
Dan Aufderhar;0,3846;3,027;13;0,0769;FALSE
lvkgj;0;2,3219;5;0;TRUE
aique;0,8;2,3219;5;0;TRUE
Katlynn Hettinger;0,2353;3,4104;17;0,0588;FALSE
eqpxsqc;0,1429;2,5216;7;0;TRUE
l rovtl   ;0,1;2,3219;10;0,4;TRUE
Celia Kozey;0,4545;3,2776;11;0,0909;FALSE
Bettie Huels;0,4167;3,0221;12;0,0833;FALSE
Doyle Reichel;0,3846;3,1808;13;0,0769;FALSE
qa ;0,3333;1,585;3;0,3333;TRUE
Buford Nikolaus;0,4;3,6402;15;0,0667;FALSE
Romaine Kris;0,4167;3,2516;12;0,0833;FALSE
l stlkuz;0,125;2,75;8;0,125;TRUE
qsn itgnji;0,2;2,9219;10;0,1;TRUE
Ocie Brekke;0,4545;2,8454;11;0,0909;FALSE
Leonor Howell;0,3846;2,8151;13;0,0769;FALSE
mvefako;0,4286;2,8074;7;0;TRUE
zon;0,3333;1,585;3;0;TRUE
Arch Larkin;0,2727;3,0958;11;0,0909;FALSE
Waldo Emard;0,3636;3,0958;11;0,0909;FALSE
Mariane Keebler;0,4667;3,1069;15;0,0667;FALSE
kxcg;0;2;4;0;TRUE
Kailee Little;0,4615;2,6612;13;0,0769;FALSE
Adolfo Lowe;0,4545;2,8454;11;0,0909;FALSE
ejqpavcjjp;0,2;2,6464;10;0;TRUE
 z jn;0;1,9219;5;0,4;TRUE
Stacy Fadel;0,2727;3,2776;11;0,0909;FALSE
tmrcvi;0,1667;2,585;6;0;TRUE
hutdqgfud;0,2222;2,7255;9;0;TRUE
xnxbaiv;0,2857;2,5216;7;0;TRUE
Odell Rogahn;0,3333;3,2516;12;0,0833;FALSE
Sigrid Bauch;0,3333;3,4183;12;0,0833;FALSE
xga;0,3333;1,585;3;0;TRUE
Ramiro Hermiston;0,375;3,3278;16;0,0625;FALSE
ees t;0,4;1,9219;5;0,2;TRUE
cietgp;0,3333;2,585;6;0;TRUE
ix ;0,3333;1,585;3;0,3333;TRUE
Maurice Fahey;0,4615;3,3927;13;0,0769;FALSE
xbhivya kmb;0,1818;3,2776;11;0,0909;TRUE
dijrh;0,2;2,3219;5;0;TRUE
Titus Carter;0,3333;3,0221;12;0,0833;FALSE
xqtxlx;0;1,7925;6;0;TRUE
gx kxd;0;2,2516;6;0,1667;TRUE
Bert Douglas;0,3333;3,585;12;0,0833;FALSE
Aurore Shanahan;0,4667;2,9736;15;0,0667;FALSE
Leopoldo McLaughlin;0,3684;3,5766;19;0,0526;FALSE
Vivien Schumm;0,3077;3,2389;13;0,0769;FALSE
Laurie Dibbert;0,4286;3,2359;14;0,0714;FALSE
Mitchel Bahringer;0,2941;3,6169;17;0,0588;FALSE
Francisco Stehr;0,2667;3,5069;15;0,0667;FALSE
cgvl;0;2;4;0;TRUE
ga;0,5;1;2;0;TRUE
l augro;0,4286;2,8074;7;0,1429;TRUE
Gia Johnson;0,3636;3,0958;11;0,0909;FALSE
Mallie Haag;0,4545;2,8454;11;0,0909;FALSE
Libby Sipes;0,2727;2,914;11;0,0909;FALSE
Maggie Bednar;0,3846;3,2389;13;0,0769;FALSE
ijukfgfjsod;0,2727;3,0958;11;0;TRUE
Napoleon Trantow;0,375;3,1556;16;0,0625;FALSE
lgx;0;1,585;3;0;TRUE
bay;0,3333;1,585;3;0;TRUE
hqrpe mb xk;0,0909;3,2776;11;0,1818;TRUE
bqbdbikqtau;0,2727;2,8454;11;0;TRUE
Gene Vandervort;0,3333;3,1899;15;0,0667;FALSE
dljdxxe;0,1429;2,2359;7;0;TRUE
Chaim Reinger;0,3846;3,2389;13;0,0769;FALSE
 loe;0,5;2;4;0,25;TRUE
Adell Hartmann;0,2857;3,182;14;0,0714;FALSE
xbsktrq;0;2,8074;7;0;TRUE
xzsqvqj;0;2,5216;7;0;TRUE
Declan Tillman;0,2857;3,182;14;0,0714;FALSE
Allen McCullough;0,3125;3,25;16;0,0625;FALSE
xcjhxthp i;0,1;2,9219;10;0,1;TRUE
nruoucukexq;0,4545;3,0272;11;0;TRUE
Terrance Rodriguez;0,3889;3,4613;18;0,0556;FALSE
Courtney Skiles;0,3333;3,6402;15;0,0667;FALSE
bglcqh;0;2,585;6;0;TRUE
enqtszf;0,1429;2,8074;7;0;TRUE
pmoono j;0,375;2,4056;8;0,125;TRUE
gobcbr;0,1667;2,2516;6;0;TRUE
zcoqxthjzt ;0,0909;3,0958;11;0,0909;TRUE
Ova Stiedemann;0,4286;3,3788;14;0,0714;FALSE
Mateo Rippin;0,4167;3,2516;12;0,0833;FALSE
Micah Jacobson;0,3571;3,3788;14;0,0714;FALSE
rhea;0,5;2;4;0;TRUE
hszi d;0,1667;2,585;6;0,1667;TRUE
Garett Heidenreich;0,3889;3,281;18;0,0556;FALSE
Prudence Kiehn;0,3571;3,3249;14;0,0714;FALSE
Dorris Hayes;0,3333;3,2516;12;0,0833;FALSE
Heidi Robel;0,4545;3,0958;11;0,0909;FALSE
c ;0;1;2;0,5;TRUE
simhxou;0,4286;2,8074;7;0;TRUE
Kathlyn Berge;0,2308;3,5466;13;0,0769;FALSE
rjsee;0,4;1,9219;5;0;TRUE
as ullp;0,2857;2,5216;7;0,1429;TRUE
urpvkh;0,1667;2,585;6;0;TRUE
Reymundo Howe;0,3846;3,3927;13;0,0769;FALSE
kddnsr;0;2,2516;6;0;TRUE
Winona Schuppe;0,3571;3,5216;14;0,0714;FALSE
Angelo Borer;0,4167;3,085;12;0,0833;FALSE
ntnliuietj;0,4;2,7219;10;0;TRUE
djlzkokxe;0,2222;2,9477;9;0;TRUE
Kayden Hessel;0,3077;3,1808;13;0,0769;FALSE
Glen Heidenreich;0,375;3,125;16;0,0625;FALSE
dsxoakt;0,2857;2,8074;7;0;TRUE
 xsyjq;0;2,585;6;0,1667;TRUE
ptulcxvnlue;0,2727;3,0958;11;0;TRUE
egpo;0,5;2;4;0;TRUE
Jean Hyatt;0,3;2,9219;10;0,1;FALSE
Gregory Hartmann;0,25;3,3278;16;0,0625;FALSE
Fabiola Medhurst;0,375;3,875;16;0,0625;FALSE
Frederick Cruickshank;0,2857;3,5226;21;0,0476;FALSE
ue;1;1;2;0;TRUE
Esta Collins;0,3333;3,2516;12;0,0833;FALSE
baf qxojhma;0,2727;3,2776;11;0,0909;TRUE
nrfrfeinjtq;0,1818;2,914;11;0;TRUE
Randall Cronin;0,2857;3,0391;14;0,0714;FALSE
hijxcevrgex;0,2727;3,0958;11;0;TRUE
Yesenia Walsh;0,3846;3,2389;13;0,0769;FALSE
rxfrn gurhd;0,0909;3,0272;11;0,0909;TRUE
zcylobh;0,1429;2,8074;7;0;TRUE
Selmer Cremin;0,3077;3,027;13;0,0769;FALSE
miyleaj ubq;0,3636;3,4594;11;0,0909;TRUE
ofxjfqg;0,1429;2,5216;7;0;TRUE
Nadia Stehr;0,3636;3,2776;11;0,0909;FALSE
oki;0,6667;1,585;3;0;TRUE
mof;0,3333;1,585;3;0;TRUE
vyybaseqfgv;0,1818;3,0958;11;0;TRUE
Jennyfer Marvin;0,2667;3,3232;15;0,0667;FALSE
mifcxpvz;0,125;3;8;0;TRUE
mhfzsqvo;0,125;3;8;0;TRUE
aannx ;0,3333;1,9183;6;0,1667;TRUE
ozyjvpk;0,1429;2,8074;7;0;TRUE
Sabryna Wisoky;0,2857;3,3788;14;0,0714;FALSE
Era Miller;0,4;2,7219;10;0,1;FALSE
London Thompson;0,2667;3,0566;15;0,0667;FALSE
Janice Bogan;0,4167;3,2516;12;0,0833;FALSE
Emma Wiegand;0,4167;3,085;12;0,0833;FALSE
uehbc;0,4;2,3219;5;0;TRUE
nczbiutbd i;0,2727;3,0958;11;0,0909;TRUE
 ftxfbyt;0;2,5;8;0,125;TRUE
vh cn;0;2,3219;5;0,2;TRUE
Zelda Schaden;0,3077;3,2389;13;0,0769;FALSE
aj lb;0,2;2,3219;5;0,2;TRUE
Adelia Johns;0,4167;3,4183;12;0,0833;FALSE
Mason Botsford;0,2857;3,3249;14;0,0714;FALSE
lokknbip;0,25;2,75;8;0;TRUE
 dmhmy;0;2,2516;6;0,1667;TRUE
sazssmitd;0,2222;2,6416;9;0;TRUE
gumtlfb ;0,125;3;8;0,125;TRUE
Adrian Rodriguez;0,4375;3,3278;16;0,0625;FALSE
Angelo Murphy;0,3077;3,7004;13;0,0769;FALSE
Tremayne Davis;0,3571;3,5216;14;0,0714;FALSE
rmmnno;0,1667;1,9183;6;0;TRUE
tztejiaghpl;0,2727;3,2776;11;0;TRUE
Mustafa Schmitt;0,2667;3,1899;15;0,0667;FALSE
gz;0;1;2;0;TRUE
lbvzgkijj;0,1111;2,9477;9;0;TRUE
Camryn Wiza;0,2727;3,2776;11;0,0909;FALSE
Amos Treutel;0,4167;3,2516;12;0,0833;FALSE
xi;0,5;1;2;0;TRUE
ifsnm;0,2;2,3219;5;0;TRUE
rxoib;0,4;2,3219;5;0;TRUE
pogfv;0,2;2,3219;5;0;TRUE
spqohzk ;0,125;3;8;0,125;TRUE
qj;0;1;2;0;TRUE
fmuc agjqk;0,2;3,3219;10;0,1;TRUE
Brian Bogisich;0,3571;3,3249;14;0,0714;FALSE
qx muqreffg;0,1818;3,0958;11;0,0909;TRUE
Alvis Yost;0,3;3,1219;10;0,1;FALSE
xporh ohyv;0,2;2,9219;10;0,1;TRUE
Wayne O'Kon;0,3636;3,0958;11;0,1818;FALSE
Lisandro Kertzmann;0,2778;3,6835;18;0,0556;FALSE
ido;0,6667;1,585;3;0;TRUE
cno x;0,2;2,3219;5;0,2;TRUE
Osbaldo Robel;0,3846;3,027;13;0,0769;FALSE
Hazle Collier;0,3846;3,1808;13;0,0769;FALSE
ztpz;0;1,5;4;0;TRUE
Jaylan Schultz;0,2143;3,5216;14;0,0714;FALSE
Wilmer Spencer;0,2857;3,3249;14;0,0714;FALSE
dkl;0;1,585;3;0;TRUE
xnc;0;1,585;3;0;TRUE
Kaci Nader;0,4;3,1219;10;0,1;FALSE
insp;0,25;2;4;0;TRUE
fuefyuissp;0,4;2,7219;10;0;TRUE
Susan Jast;0,3;2,6464;10;0,1;FALSE
Rita Gibson;0,3636;3,2776;11;0,0909;FALSE
Sim Anderson;0,3333;3,2516;12;0,0833;FALSE
uu;1;0;2;0;TRUE
Kelley Parker;0,3077;2,8731;13;0,0769;FALSE
vfguflfo;0,25;2,4056;8;0;TRUE
rcchjsvvqu;0,1;2,9219;10;0;TRUE
f jy d;0;2,2516;6;0,3333;TRUE
Rollin Schneider;0,3125;3,375;16;0,0625;FALSE
ainuothj lr;0,3636;3,4594;11;0,0909;TRUE
sqpf;0;2;4;0;TRUE
Nathaniel Windler;0,3529;3,3372;17;0,0588;FALSE
ndlulkxxcoq;0,1818;3,0958;11;0;TRUE
Bertram Donnelly;0,25;3,5;16;0,0625;FALSE
mybku h;0,1429;2,8074;7;0,1429;TRUE
Lucinda Fritsch;0,2667;3,6402;15;0,0667;FALSE
Zachary Larson;0,2857;3,3249;14;0,0714;FALSE
pi;0,5;1;2;0;TRUE
Austin Rice;0,4545;3,2776;11;0,0909;FALSE
Morgan Haag;0,3636;2,8454;11;0,0909;FALSE
hvujkt;0,1667;2,585;6;0;TRUE
vs;0;1;2;0;TRUE
sbiy;0,25;2;4;0;TRUE
Clement Hodkiewicz;0,3333;3,6835;18;0,0556;FALSE
tsrynrdh;0;2,75;8;0;TRUE
baofoj;0,5;2,2516;6;0;TRUE
Amara Hessel;0,4167;2,8554;12;0,0833;FALSE
Emerald Hilll;0,3077;2,9312;13;0,0769;FALSE
Efren Kiehn;0,3636;2,8454;11;0,0909;FALSE
